iter	MAE	RMSE
0	126.7461596	139.3821979
1	120.4045007	132.3661279
2	114.3776646	125.7519908
3	108.6920456	119.4774888
4	103.2540811	113.5685012
5	98.16494285	107.9994712
6	93.32539005	102.7032745
7	88.80544222	97.78587991
8	84.3878867	92.98671764
9	80.21533018	88.4267321
10	76.20240166	84.10495461
11	72.46367664	80.02977514
12	68.97972977	76.21488568
13	65.6179456	72.54137901
14	62.53499527	69.18059109
15	59.52940832	65.90562026
16	56.77899034	62.93216582
17	53.99765029	59.93552416
18	51.41783633	57.16333892
19	48.8349983	54.39267198
20	46.48341221	51.88083349
21	44.23929546	49.47090349
22	42.20438628	47.2931115
23	40.13592013	45.07991501
24	38.20495459	43.00893382
25	36.38675465	41.10227949
26	34.62086922	39.23193439
27	32.96110771	37.53648738
28	31.305287	35.78666761
29	29.81475604	34.21887757
30	28.38950584	32.72954275
31	27.06741757	31.35953907
32	25.81624401	30.09093484
33	24.6308438	28.88983875
34	23.48918384	27.711627
35	22.42330116	26.60578845
36	21.3619999	25.51466912
37	20.36311511	24.46338149
38	19.45860325	23.5497069
39	18.60866601	22.69102516
40	17.80676279	21.87615909
41	17.01142056	21.0392404
42	16.26822535	20.25477536
43	15.57762546	19.52053046
44	14.9585083	18.89938847
45	14.3742772	18.26695931
46	13.79004507	17.61029608
47	13.25994124	17.05647812
48	12.78996447	16.56249435
49	12.38198774	16.11867975
50	11.97843616	15.63978888
51	11.60065665	15.19514647
52	11.23084997	14.75220963
53	10.91234424	14.35091127
54	10.61784971	13.96085781
55	10.35926662	13.63819125
56	10.12329773	13.3224501
57	9.921032155	13.04909004
58	9.723429064	12.78830129
59	9.530451805	12.52045686
60	9.355097872	12.29798501
61	9.197743416	12.10664026
62	9.046906325	11.9001487
63	8.905875371	11.72691542
64	8.779123424	11.56827603
65	8.66613067	11.42568038
66	8.532835801	11.23311806
67	8.418303771	11.06664891
68	8.30392981	10.925885
69	8.190971558	10.78187581
70	8.105790474	10.68929961
71	8.02462215	10.58907681
72	7.938562705	10.48665254
73	7.864048018	10.40723067
74	7.797868289	10.3457134
75	7.724939661	10.27171476
76	7.658644246	10.1715769
77	7.59359134	10.07640438
78	7.53037126	9.993241605
79	7.48248848	9.93093058
