iter	Passed	Remaining
0	3	3168
1	6	3437
2	10	3324
3	12	3130
4	15	3050
5	18	3022
6	20	2968
7	23	2933
8	25	2812
9	28	2798
10	31	2791
11	33	2773
12	36	2754
13	38	2732
14	41	2719
15	43	2699
16	46	2713
17	49	2708
18	52	2706
19	55	2697
20	57	2691
21	60	2686
22	63	2705
23	65	2676
24	68	2672
25	71	2665
26	73	2661
27	76	2657
28	79	2658
29	82	2655
30	84	2650
31	87	2647
32	90	2643
33	93	2647
34	95	2623
35	97	2614
36	100	2611
37	103	2607
38	106	2613
39	108	2609
40	111	2610
41	114	2608
42	117	2618
43	120	2624
44	123	2621
45	126	2622
46	129	2618
47	131	2613
48	134	2617
49	137	2614
50	140	2612
51	143	2608
52	145	2602
53	148	2597
54	151	2602
55	154	2598
56	156	2595
57	159	2594
58	162	2590
59	165	2594
60	168	2590
61	171	2588
62	173	2587
63	176	2585
64	179	2588
65	182	2587
66	185	2586
67	188	2582
68	191	2577
69	193	2574
70	196	2572
71	199	2569
72	202	2567
73	204	2563
74	207	2559
75	210	2558
76	213	2557
77	216	2554
78	218	2551
79	221	2547
80	224	2548
81	227	2545
82	230	2544
83	232	2539
84	235	2534
85	238	2532
86	241	2529
87	244	2528
88	246	2526
89	249	2523
90	252	2519
91	255	2521
92	258	2516
93	260	2513
94	263	2509
95	266	2506
96	269	2505
97	271	2503
98	274	2499
99	277	2494
100	279	2491
101	282	2488
102	285	2488
103	288	2483
104	290	2479
105	293	2475
106	296	2472
107	299	2471
108	302	2469
109	304	2465
110	307	2461
111	310	2458
112	312	2454
113	315	2452
114	318	2450
115	321	2447
116	323	2444
117	326	2441
118	329	2441
119	332	2438
120	335	2434
121	337	2431
122	340	2428
123	343	2427
124	346	2428
125	349	2425
126	352	2422
127	355	2419
128	358	2417
129	360	2415
130	363	2412
131	366	2410
132	369	2407
133	372	2404
134	375	2407
135	378	2406
136	382	2407
137	385	2406
138	388	2408
139	391	2407
140	395	2407
141	398	2405
142	401	2403
143	404	2406
144	408	2406
145	411	2406
146	414	2405
147	417	2404
148	421	2406
149	423	2401
150	426	2399
151	429	2395
152	432	2391
153	435	2390
154	438	2388
155	440	2384
156	443	2381
157	446	2377
158	449	2378
159	452	2377
160	456	2376
161	459	2374
162	462	2374
163	465	2373
164	468	2372
165	471	2371
166	475	2370
167	478	2370
168	481	2369
169	484	2367
170	488	2366
171	491	2365
172	494	2365
173	497	2362
174	500	2358
175	502	2354
176	505	2350
177	508	2348
178	511	2344
179	513	2340
180	516	2337
181	519	2333
182	522	2332
183	525	2330
184	528	2326
185	530	2323
186	533	2321
187	536	2319
188	539	2315
189	542	2313
190	545	2310
191	548	2308
192	551	2305
193	554	2302
194	557	2300
195	560	2297
196	562	2293
197	565	2291
198	568	2288
199	571	2285
200	574	2282
201	577	2279
202	580	2278
203	583	2275
204	586	2272
205	588	2269
206	591	2266
207	594	2264
208	597	2262
209	600	2258
210	603	2255
211	606	2252
212	608	2249
213	611	2246
214	614	2243
215	617	2240
216	620	2237
217	622	2234
218	626	2233
219	628	2229
220	631	2226
221	634	2223
222	637	2220
223	640	2218
224	643	2215
225	645	2211
226	648	2208
227	651	2206
228	654	2204
229	657	2201
230	660	2198
231	663	2194
232	665	2191
233	668	2188
234	671	2185
235	674	2182
236	677	2180
237	679	2177
238	682	2173
239	685	2171
240	688	2168
241	691	2166
242	694	2163
243	697	2160
244	700	2159
245	704	2158
246	706	2155
247	709	2151
248	712	2149
249	715	2147
250	718	2143
251	721	2140
252	724	2137
253	726	2134
254	731	2136
255	738	2145
256	741	2145
257	744	2142
258	747	2139
259	750	2136
260	753	2133
261	756	2130
262	759	2127
263	762	2124
264	765	2121
265	767	2118
266	770	2115
267	773	2112
268	776	2109
269	779	2106
270	781	2103
271	784	2100
272	787	2096
273	790	2094
274	793	2091
275	796	2088
276	798	2084
277	801	2081
278	804	2079
279	807	2076
280	810	2072
281	812	2069
282	815	2065
283	818	2062
284	820	2059
285	823	2056
286	826	2053
287	829	2049
288	831	2046
289	835	2044
290	837	2041
291	840	2038
292	843	2034
293	845	2031
294	848	2028
295	851	2025
296	854	2022
297	858	2021
298	862	2021
299	865	2019
300	868	2017
301	871	2014
302	874	2010
303	877	2008
304	880	2007
305	883	2004
