vehicleCode,total_distance_mean_vehicle,total_time_mean_vehicle
W102,113718.35454000588,86089.45038167939
W103,128073.32631161361,86852.64601769911
W104,88059.75975277156,86705.92920353982
W105,86222.1688352672,86053.79365079365
W106,181209.4468682175,86130.10236220472
W108,196521.82440937337,86876.10434782608
W109,202683.72041926693,86869.01739130435
W110,118417.5196399198,82177.54545454546
W111,89417.17750320026,85921.128
W112,89068.35517104338,85968.44
W113,84911.78307907589,85920.36923076923
W114,92683.6707666305,86571.48717948717
W115,91306.90237387341,85930.728
W117,82982.05747574705,86029.10317460318
W118,55164.25473105974,86027.72
W119,206028.66237983806,86062.38888888889
W120-1,103413.63874645572,84140.77358490566
W120-2,141107.33223638867,85406.24444444444
W40-1,822173.0741992797,138434.44791666666
W40-2,779487.7659874831,135649.6125
W41-1,835388.6508648869,140447.95744680852
W41-2,904330.8655983944,147712.4090909091
W42-1,879949.3743088144,142989.6043956044
W42-2,882736.368719893,145115.29545454544
W44-1,1021250.8632069314,156648.4927536232
W44-2,893227.090220082,121171.98979591837
W44-スポット,1176319.7843253699,154012.2
W45-1,732479.839956433,114329.09803921569
W45-2,895800.2914348985,116782.51578947369
W46,1261045.716225995,178994.5344827586
W46-スポット,507917.9098530786,105057.5
W47-1,1168250.2181228749,159231.4347826087
W47-2,857067.815838995,140203.0357142857
W47-3,993944.1413412597,135877.80555555556
W52,101827.7687509108,85424.1968503937
W53,102155.54576368493,86785.56060606061
W54,390109.6182905179,131847.25974025973
W70,113573.93026859596,86089.92366412214
W72,191388.27008755348,85898.89230769231
W73,168033.13110006752,84648.74809160305
W74,280611.11071047414,84675.18045112782
W75,66614.28964256698,84844.99029126213
W76,107012.21050037925,86058.56349206349
W77,70080.05378740483,86158.33846153846
W78,166622.7577874184,84664.94696969698
W79,108514.79606851668,84824.896
W80,121556.16118497106,86087.20512820513
W82-2,318699.69058014435,86595.75396825396
W84,276365.1609503922,84351.2794117647
W87-1,30397.108223169464,85974.546875
W87-2,19309.282106470568,85860.52293577982
W88,53807.41595848758,56840.666666666664
W90,122360.26364915576,85366.05882352941
W91,132741.75959957732,84882.72592592593
W92-1,30481.59308012336,85975.0234375
W93-1,30459.868077385276,85974.59375
W93-2,6297.493220113801,79614.88
W94,78869.96451304811,86150.11627906977
W95-1,107988.94722303156,86058.26984126984
W95-2,113172.57038701557,86089.15267175573
W97-1,668015.2657991949,151000.14102564103
W97-2,628735.5423904845,153937.37179487178
W98-1,235238.18668801096,127320.46666666666
W98-2,103554.58064478263,85983.36440677966
座間エンジン（1・2・4時区）-1,164466.5082439751,85996.63157894737
座間エンジン（1・2・4時区）-2,305789.6529784027,86098.1015625
座間エンジン（3時区）-1,39980.68613270779,85344.5125
座間エンジン（3時区）-2,122904.1125376306,86085.16513761468
