vehicleCode,total_distance_mean_vehicle,total_time_mean_vehicle
W102,112856.85185409675,43944.07575757576
W103,108002.13338218162,30100.05223880597
W104,82922.94043385988,34487.34166666667
W105,79299.22097258152,35427.63503649635
W106,219739.45780534387,25893.75316455696
W108,194827.67075067188,50861.94827586207
W109,200936.4469673767,49058.64655172414
W110,100199.43969531676,28766.46153846154
W111,88009.03297559082,32917.27559055118
W112,83086.1522117942,37760.60447761194
W113,82377.10298716318,40562.32835820896
W114,91125.96201425017,40400.621848739494
W115,91306.90237387341,43638.528
W117,81685.4628276885,40256.546875
W118,53042.55262601898,34799.269230769234
W119,320034.6366501781,40426.96124031008
W120-1,80601.80667003166,26727.382352941175
W120-2,141107.33223638867,39684.8
W40-1,357143.0548557957,30590.805429864253
W40-2,352310.85468360817,29736.70056497175
W41-1,342910.6252458488,27832.183406113538
W41-2,363384.09211259685,31231.79908675799
W42-1,360699.9687482077,29657.783783783783
W42-2,348344.39662489056,28975.928251121077
W44-1,542048.5350867559,47146.92307692308
W44-2,640263.6180553564,39800.09032258065
W44-スポット,691952.814309041,53397.76470588235
W45-1,553429.2124115272,52157.08888888889
W45-2,676973.1710893296,40737.33566433567
W46,533873.368913195,48258.890510948906
W46-スポット,338611.9399020524,28225.542635658916
W47-1,444128.18209629954,32961.57024793389
W47-2,510593.5924147205,44301.29787234042
W47-3,627754.1945313219,46786.87719298246
W52,96508.40769675873,38955.23880597015
W53,85345.13949877475,34718.329113924054
W54,265826.9080386715,54139.097345132745
W69,116798.85391149679,37296.80434782609
W70,113573.93026859596,44449.37404580152
W71,177924.12710163847,18208.021739130436
W72,267156.86303942435,40390.42335766424
W73,165506.31709856275,43420.00751879699
W74,389868.5508238937,42772.43703703704
W75,64124.03582415326,33507.392523364484
W76,105340.14471131083,39697.53125
W77,66499.32111213596,39661.03649635037
W78,164135.85095477037,43173.73880597015
W79,107653.56752829035,40532.142857142855
W80,111109.9285831376,40800.4296875
W82-2,309530.3300396223,37245.48091603054
W83-1,328702.7796158331,39206.425
W83-2,316200.8123983333,32959.282051282054
W83-3,374368.36565337115,38506.61538461538
W84,264687.7597834742,27701.87323943662
W86,85317.69051081983,21380.155555555557
W87-1,30161.471725315438,35291.248062015504
W87-2,19133.743178229928,22931.136363636364
W88,53807.41595848758,31731.0
W90,115562.47122420267,42571.98412698413
W91,107306.21284995771,37011.45508982036
W92-1,30012.645494275308,35114.61538461538
W93-1,30223.74506903345,35668.124031007756
W93-2,6297.493220113801,4598.44
W94,77665.84291742905,47673.18320610687
W95-1,106301.61992267169,40197.0703125
W95-2,112315.20242953819,44092.92424242424
W97-1,364371.9631631973,41371.6993006993
W97-2,374361.62065998313,48603.26717557252
W98-1,92857.1789557938,24151.526315789473
W98-2,98543.8751297125,30142.612903225807
座間エンジン（1・2・4時区）-1,154951.91685796002,40870.44628099174
座間エンジン（1・2・4時区）-2,422037.23456571606,46635.4496124031
座間エンジン（3時区）-1,39980.68613270779,13730.8875
座間エンジン（3時区）-2,119612.03809465836,33502.96428571428
